node,x,y,demand
1,75,55,0
2,7,75,12
3,77,1,26
4,51,25,1
5,81,25,20
6,59,37,2
7,93,45,13
8,43,21,20
9,35,53,7
10,77,63,10
11,37,13,15
12,37,51,7
13,27,31,24
14,95,31,10
15,87,43,12
16,23,65,23
17,9,51,13
18,73,81,19
19,3,1,9
20,41,61,12
21,29,81,6
22,51,95,9
23,49,25,22
24,81,53,18
25,7,51,19
26,21,5,20
27,91,35,24
28,17,81,10
29,61,69,4
30,27,97,20
31,83,23,15
32,21,93,13
33,59,31,12
34,27,53,3
35,9,91,7
36,11,27,18
37,59,41,3
38,67,1,23
39,77,39,1
40,47,29,17
41,3,89,13
42,33,87,6
43,17,45,22
44,91,41,20
45,23,3,21
46,97,61,2
