A-n48-k7

VEHICLE
NUMBER     CAPACITY
  7          100

CUSTOMER
CUST NO.   XCOORD.  YCOORD.    DEMAND

    0      47          5          0
    1       1	      19	 20
    2 	   97	      35	 14
    3	   23	      79	  5
    4	   77	      87	 11
    5	    3	       9	 22
    6	    5	      27	 25
    7	   41	      53	  2
    8	   51	      87	 18
    9	   67	      73	 10
   10	   89	      45	 26
   11	   71	      99	 14
   12	   11	       1	 22
   13 	   85 	      85	  9
   14      57 	      11	 11
   15 	   57 	      85	 18
   16 	   71 	      33	 24
   17	   61 	      13	 15
   18 	   39 	      15	 23
   19	   13	      59	 16
   20 	   43	      99	 14
   21 	   87	      73	  8
   22	   11	      37	  5
   23 	   21 	      11	 12
   24	   77	      81	  8
   25	    3 	      63	 16
   26 	   47 	      95	 12
   27 	   53 	      75	 15
   28 	   73         55	  9
   29 	   81         71	  2
   30 	   89 	      75	 10
   31 	   11 	       9	  2
   32 	   27 	      37	  3
   33 	   95 	      59	 20
   34 	   63 	      63	  3
   35 	   37 	      21	 13
   36 	   33 	      47	 25
   37 	   23 	      63	 23
   38	   13 	      55	  8
   39 	   47 	      93	 16
   40 	   45 	      43	  9
   41 	   83 	       7	 14
   42 	   69 	      91	  4
   43 	   13 	      11	 13
   44 	   37 	      15	  7
   45 	   53 	      59	 16
   46 	   97 	      83	 18
   47 	   75         31	 16
